Id;Role;Name;Squad;Price;MyRating;Mate;Regularness;FVM;Pg22_23;Mv22_23;Mf22_23;Pg21_22;Mv21_22;Mf21_22;Pg20_21;Mv20_21;Mf20_21;Pg19_20;Mv19_20;Mf19_20;Pg18_19;Mv18_19;Mf18_19
2172;C;Barak;Fiorentina;11;2.9;;3;14;28;5.82;5.96;29;6.31;7.48;34;6.09;6.69;24;5.89;6.18;8;5.4;5.4
1933;C;Mandragora;Fiorentina;10;2.4;Lopez M.;4;15;28;6.04;6.25;18;6.14;6.06;27;5.87;6.15;26;5.8;5.84;35;5.75;5.9
4377;C;Castrovilli;Fiorentina;9;3.1;;2;9;12;6.08;6.54;23;6.02;6.11;34;5.98;6.39;33;6.35;6.53;0;0.0;0.0
2839;C;Sottil;Fiorentina;8;2.7;;3;12;16;5.97;6.06;22;6.0;6.41;21;6.03;6.32;18;5.83;5.75;2;0.0;0.0
4285;C;Arthur Melo;Fiorentina;8;2.1;;5;18;0;0.0;0.0;15;5.93;5.83;22;6.02;6.1;0;0.0;0.0;0;0.0;0.0
5788;C;Sabiri;Fiorentina;8;1.9;;3;7;18;5.78;5.81;13;6.15;6.88;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
4681;C;Lopez M.;Fiorentina;7;2.2;Mandragora;3;22;30;5.93;5.75;34;6.09;6.1;29;5.86;5.95;0;0.0;0.0;0;0.0;0.0
526;C;Duncan;Fiorentina;6;2.3;;3;9;21;5.88;5.95;31;5.92;6.13;23;5.77;5.8;26;6.08;6.44;26;6.1;6.6
6393;C;Infantino;Fiorentina;4;2.0;;2;10;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6236;C;Amatucci;Fiorentina;2;1.0;;1;1;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5336;A;Nzola;Fiorentina;22;3.2;Beltran L.;4;81;31;6.19;7.39;16;5.88;6.28;25;6.22;7.56;0;0.0;0.0;0;0.0;0.0
4179;A;Gonzalez N.;Fiorentina;17;3.6;;5;95;22;6.11;6.86;33;6.35;7.11;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6409;A;Beltran L.;Fiorentina;15;3.0;Nzola;3;61;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
4184;A;Brekalo;Fiorentina;11;2.7;;3;17;6;6.08;6.0;31;6.08;6.81;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
2762;A;Kouame';Fiorentina;8;2.0;;3;8;28;6.11;6.62;0;0.0;0.0;33;5.7;5.83;18;6.31;7.44;38;6.07;6.46
4867;P;Turati;Frosinone;5;1.0;;5;8;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;2;6.25;4.25;0;0.0;0.0
2294;P;Cerofolini;Frosinone;2;1.0;;1;1;5;6.1;5.5;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
2799;P;Frattali;Frosinone;1;1.0;;1;1;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;6.5;4.5
76;D;Romagnoli S.;Frosinone;6;2.3;;3;6;4;5.62;5.62;18;5.89;6.03;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
2252;D;Marchizza;Frosinone;6;1.2;;5;5;5;6.1;6.0;19;5.63;5.47;24;5.84;5.84;0;0.0;0.0;0;0.0;0.0
4952;D;Monterisi;Frosinone;5;1.0;;4;6;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.0;0.0;0;0.0;0.0
2006;D;Lirola;Frosinone;3;1.9;Oyono;3;5;0;0.0;0.0;0;0.0;0.0;12;5.91;5.86;35;5.83;5.83;35;5.99;6.21
6238;D;Oyono;Frosinone;2;2.0;Lirola;4;8;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
4432;D;Okoli;Frosinone;1;1.4;;4;7;14;5.71;5.61;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6411;D;Mateus Lusuardi;Frosinone;1;1.0;;2;1;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6430;D;Kalaj;Frosinone;1;1.0;;1;1;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5688;C;Harroui;Frosinone;8;3.0;;5;22;17;5.94;6.24;10;5.8;5.7;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5093;C;Reinier;Frosinone;8;3.0;Caso;4;18;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
4947;C;Brescianini;Frosinone;6;1.0;;2;4;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;6.0;6.0;0;0.0;0.0
1976;C;Mazzitelli;Frosinone;5;1.0;;5;6;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.0;0.0;10;5.72;5.56
2825;C;Bourabia;Frosinone;4;2.0;;4;8;37;5.91;6.0;8;6.06;6.38;15;5.86;6.09;17;5.68;5.47;32;5.82;5.77
694;C;Baez;Frosinone;4;1.0;Soule';3;6;2;5.75;5.75;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
2183;C;Garritano;Frosinone;3;1.0;;2;4;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6175;C;Barrenechea;Frosinone;3;1.0;;1;6;3;5.5;5.5;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6241;C;Gelli;Frosinone;3;1.0;Reinier;3;1;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
500;C;Lulic K.;Frosinone;1;1.0;;1;3;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6439;A;Cheddira;Frosinone;10;2.0;;5;28;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5364;A;Caso;Frosinone;6;2.0;Reinier;3;12;0;0.0;0.0;0;0.0;0.0;2;6.5;6.5;0;0.0;0.0;0;0.0;0.0
5734;A;Soule';Frosinone;4;2.0;Baez;4;14;7;6.14;6.57;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6214;A;Cuni;Frosinone;4;1.0;;2;5;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6204;A;Kvernadze;Frosinone;3;1.0;;1;6;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5505;A;Kaio Jorge;Frosinone;1;1.0;;1;9;0;0.0;0.0;2;5.75;5.75;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6242;A;Bidaoui;Frosinone;1;1.0;;1;1;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5116;P;Martinez Jo.;Genoa;8;2.0;;5;17;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
